18,7,221,8,221,29,18,29
228,9,393,9,393,29,228,29
399,9,594,9,594,30,399,30
20,33,233,35,233,56,19,54
240,34,314,34,314,56,240,56
346,36,522,36,522,56,346,56
538,36,594,36,594,56,538,56
317,37,337,37,337,53,317,53
524,38,536,38,536,53,524,53
20,61,222,61,222,81,20,81
20,114,181,114,181,134,20,134
191,114,482,114,482,135,191,135
486,116,593,116,593,136,486,136
20,139,593,141,593,162,19,161
19,168,130,166,130,187,20,189
138,168,237,168,237,188,138,188
246,168,349,168,349,188,246,188
357,168,498,168,498,188,357,188
502,169,593,169,593,189,502,189
18,192,432,193,431,214,18,213
432,194,593,194,593,214,432,214
18,220,292,220,292,241,18,241
293,219,593,219,593,241,293,241
18,245,107,245,107,265,18,265
110,245,593,245,593,266,110,266
